System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,DM-DC-015,33.4,,1,e3b58855-92e4-4cd1-873f-1ce43b874da2,9/19/2023 11:39:40 PM,Claude.Spencer_UWA,9/20/2023 12:23:15 AM,Claude.Spencer_UWA,116.988046259433,-20.3619082374411
1,DM-DC-010,34,,2,0eeee2c0-86f7-4b78-a124-99c8093421fe,9/19/2023 11:53:40 PM,Claude.Spencer_UWA,9/20/2023 12:22:49 AM,Claude.Spencer_UWA,116.985750282348,-20.3569481663945
1,DM-DC-006,34.7,,3,f240b90e-6747-46b8-8e8d-3e945706568b,9/20/2023 12:06:13 AM,Claude.Spencer_UWA,9/20/2023 12:06:13 AM,Claude.Spencer_UWA,116.973198333088,-20.3553000002197
1,DM-DC-004,35,Mistakenly showed cams 084,4,3c1a24e2-2660-4d4c-8d7f-bd642aada52a,9/20/2023 12:21:06 AM,Claude.Spencer_UWA,9/20/2023 12:21:06 AM,Claude.Spencer_UWA,116.970568940896,-20.3493936218128
1,DM-DC-014,35.4,,5,93499d24-d91a-4019-bd3b-feddeb955c12,9/20/2023 12:37:43 AM,Claude.Spencer_UWA,9/20/2023 12:37:43 AM,Claude.Spencer_UWA,116.950326197384,-20.3575819742762
1,DM-DC-008,36.3,Checked all cams and lights,6,7cde5883-55b3-4059-8d6f-28dfeaf9f731,9/20/2023 12:55:06 AM,Claude.Spencer_UWA,9/20/2023 12:55:06 AM,Claude.Spencer_UWA,116.962059633197,-20.3433889648324
1,DM-DC-012,36.8,,7,251c7ae5-bbb2-4320-9902-4ef769fe6314,9/20/2023 1:10:56 AM,Claude.Spencer_UWA,9/20/2023 1:10:56 AM,Claude.Spencer_UWA,116.943296756318,-20.3409735390651
1,DM-DC-016,37.7,,8,b5dea633-16d8-42a8-b5e8-425c17f6e856,9/20/2023 1:33:33 AM,Claude.Spencer_UWA,9/20/2023 1:33:33 AM,Claude.Spencer_UWA,116.918343988566,-20.33784370991
1,DM-DC-009,37.2,Cam 25 was off. Resynced,9,dc8e4e4f-3ce1-4177-8ea4-623ddb9d06c1,9/20/2023 1:50:15 AM,Claude.Spencer_UWA,9/20/2023 1:50:58 AM,Claude.Spencer_UWA,116.932386523156,-20.329363562689
1,DM-DC-005,37.6,,10,0a6bc4f5-3812-4262-8aea-0b78a433f4b6,9/20/2023 2:04:52 AM,Claude.Spencer_UWA,9/20/2023 2:04:52 AM,Claude.Spencer_UWA,116.942049999807,-20.3252783333323
1,DM-DC-013,40.0,,11,69284d13-99ec-4a96-9700-9f7a02542225,9/20/2023 2:31:55 AM,Claude.Spencer_UWA,9/21/2023 10:04:06 AM,Claude.Spencer_UWA,116.902485259,-20.3148944620402
1,DM-DC-001,41.3,,12,a0693054-f83b-414d-a38b-e92e5f8fdc7f,9/20/2023 2:43:45 AM,Claude.Spencer_UWA,9/20/2023 2:43:45 AM,Claude.Spencer_UWA,116.890070651367,-20.3133020311548
1,DM-DC-002,43.7,,13,a3c111aa-1859-4dfb-8116-c9ff38f14bbe,9/20/2023 3:08:04 AM,Claude.Spencer_UWA,9/20/2023 3:08:04 AM,Claude.Spencer_UWA,116.862703696324,-20.3046516665488
1,DM-DC-039,39.3,,14,b51dc07a-006f-458d-9cdc-5cc8376f9595,9/20/2023 3:23:13 AM,Claude.Spencer_UWA,9/20/2023 3:23:13 AM,Claude.Spencer_UWA,116.919251666991,-20.3102266667514
1,DM-DC-028,40.3,Resynced,15,0092817e-ba65-4804-8d2e-a730b67c934b,9/20/2023 3:33:57 AM,Claude.Spencer_UWA,9/20/2023 3:40:39 AM,Claude.Spencer_UWA,116.924816137288,-20.3037199387919
1,DM-DC-032,37.2,,16,292e37f9-836b-4bd0-acfb-36c5125b5b58,9/20/2023 3:44:25 AM,Claude.Spencer_UWA,9/20/2023 3:44:25 AM,Claude.Spencer_UWA,116.932014525407,-20.3009281517653
1,DM-DC-031,40.1,,17,503bae7a-9442-4285-a2e2-85db7d50b4c3,9/20/2023 3:55:13 AM,Claude.Spencer_UWA,9/20/2023 3:55:13 AM,Claude.Spencer_UWA,116.932858189884,-20.311812506732
1,DM-DC-035,39.5,,18,d109d5c7-cff4-4f6c-9dc8-54b0875a29df,9/20/2023 4:10:05 AM,Claude.Spencer_UWA,9/20/2023 4:10:05 AM,Claude.Spencer_UWA,116.951212913621,-20.3070048777907
1,DM-DC-024,38.2,,19,11b5afb1-efe9-4c33-9f3f-f8198b9a5ac3,9/20/2023 4:20:24 AM,Claude.Spencer_UWA,9/20/2023 4:20:24 AM,Claude.Spencer_UWA,116.95811753827,-20.3127989711856
1,DM-DC-027,37.6,,20,22482642-8b34-4baa-805e-704d0abdc724,9/20/2023 4:32:37 AM,Claude.Spencer_UWA,9/20/2023 4:32:37 AM,Claude.Spencer_UWA,116.954476231638,-20.3147629126198
1,DM-DC-033,38.1,,21,4d0ef3cb-5cf0-404f-8eb9-5f39df65818a,9/20/2023 4:48:48 AM,Claude.Spencer_UWA,9/20/2023 4:48:48 AM,Claude.Spencer_UWA,116.979767463928,-20.3070682307283
1,DM-DC-037,39.5,,22,d6ed56fd-3d39-40bc-96d9-3e34951af53d,9/20/2023 5:01:47 AM,Claude.Spencer_UWA,9/20/2023 5:01:47 AM,Claude.Spencer_UWA,116.993988841413,-20.3016021875069
1,DM-DC-038,39.3,,23,e614e8a8-3816-478d-a787-d51b69c000e3,9/20/2023 5:13:58 AM,Claude.Spencer_UWA,9/20/2023 5:13:58 AM,Claude.Spencer_UWA,117.010997029166,-20.3038860425793
1,DM-DC-030,38.2,,24,4f2846de-249c-4d84-9f8e-2f2b5094859c,9/20/2023 5:24:17 AM,Claude.Spencer_UWA,9/21/2023 10:05:49 AM,Claude.Spencer_UWA,117.010444565266,-20.3107947966901
,DM-DC-029,37.5,Cam 21 off. Resynced before,25,a8a1150e-e6d7-4b12-8252-07e1a974b00f,9/20/2023 5:48:19 AM,Claude.Spencer_UWA,9/20/2023 5:48:19 AM,Claude.Spencer_UWA,117.003201666523,-20.3137033330696
,DM-DC-026,37.3,,26,20f8fc9b-6361-407f-adaa-e244b5eade53,9/20/2023 5:58:48 AM,Claude.Spencer_UWA,9/20/2023 5:58:48 AM,Claude.Spencer_UWA,116.995051666972,-20.312345000156
,DM-DC-022,37.3,,27,70294889-eb56-45ec-b17e-e22b3c5e3128,9/20/2023 6:10:05 AM,Claude.Spencer_UWA,9/20/2023 6:10:05 AM,Claude.Spencer_UWA,116.985366666687,-20.3159833332578
,DM-DC-019,36.8,,28,b15c7036-aed5-45ff-b297-2b3eba2a28bc,9/20/2023 6:20:42 AM,Claude.Spencer_UWA,9/20/2023 6:20:42 AM,Claude.Spencer_UWA,116.991263333078,-20.3208749997983
,DM-DC-020,36.8,,29,4d6b2faa-c44d-4f45-b427-0d7d10b32802,9/20/2023 6:29:34 AM,Claude.Spencer_UWA,9/20/2023 6:29:34 AM,Claude.Spencer_UWA,116.992688333308,-20.3246683335629
