System #,Left camera,Left card,Right camera,Right card,Rear camera,Rear card,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
4,033,208,034,202,004,62,1,f154909a-ef62-49e1-80a0-fb1e35b03be8,9/20/2023 9:21:31 AM,Claude.Spencer_UWA,9/20/2023 9:21:31 AM,Claude.Spencer_UWA,117.016225420851,-20.5473970441938
7,039,219,040,229,007,57,2,f9b10b2f-4b02-43cc-8342-39b5ec0ae4f9,9/20/2023 9:23:10 AM,Claude.Spencer_UWA,9/20/2023 9:23:10 AM,Claude.Spencer_UWA,117.011917462769,-20.5499414807503
6,37,201,38,220,009,64,3,b34ce615-e5d1-42ed-a7ab-56db67d65fd1,9/20/2023 9:29:07 AM,Claude.Spencer_UWA,9/20/2023 9:29:07 AM,Claude.Spencer_UWA,117.052918632173,-20.616599669103
5,035,244,044,250,005,055,4,22d1aa2d-bef8-4b5e-ad4c-27f2bf7e8c56,9/20/2023 9:30:54 AM,Claude.Spencer_UWA,9/20/2023 9:30:54 AM,Claude.Spencer_UWA,117.017314232874,-20.5559253966896
2,029,237,030,207,002,01,5,c7361a78-8f74-44cd-87ab-6789827ae428,9/20/2023 9:37:13 AM,Claude.Spencer_UWA,9/20/2023 9:37:13 AM,Claude.Spencer_UWA,117.01301287202,-20.5763969920423
8,041,239,042,215,008,59,6,01dfbd25-c792-45d4-a1bd-946a10457f7c,9/20/2023 9:39:05 AM,Claude.Spencer_UWA,9/20/2023 9:39:05 AM,Claude.Spencer_UWA,117.004681620292,-20.5374835472011
3,031,245,032,218,003,58,7,4b60c9ba-0b2d-43cb-a3d0-32a2c5734a4d,9/20/2023 9:45:37 AM,Claude.Spencer_UWA,9/20/2023 9:45:37 AM,Claude.Spencer_UWA,117.033404292999,-20.5600869165369
1,027,230,028,210,001,44,8,20a2bb51-c435-4029-8747-cfdf0ff0c72c,9/20/2023 9:47:25 AM,Claude.Spencer_UWA,9/20/2023 9:47:25 AM,Claude.Spencer_UWA,117.005765841026,-20.5780139887776
1,027,225,028,248,001,038,9,16716d49-b3b8-430e-8469-07abc35eb01c,9/22/2023 9:59:56 AM,Claude.Spencer_UWA,9/22/2023 9:59:56 AM,Claude.Spencer_UWA,117.026827954078,-20.5690124497972
002,029,215,030,229,002,41,10,835f79f3-ec41-4919-b9d9-cc194b90fbf8,9/22/2023 10:02:56 AM,Claude.Spencer_UWA,9/22/2023 10:02:56 AM,Claude.Spencer_UWA,117.008623519387,-20.5606357663817
3,031,228,032,214,003,35,11,4bb98fad-f5dc-406e-8d9e-462cba5bbc6b,9/22/2023 10:05:01 AM,Claude.Spencer_UWA,9/22/2023 10:05:01 AM,Claude.Spencer_UWA,117.046045329084,-20.5829092281493
