"siteID","lon_WGS84","lat_WGS84","ip","geometry"
"DM-BV-001",116.889980406406,-20.3132789657748,2.69026765657149e-07,c(-1771787.21716719, -2448342.47499549)
"DM-BV-002",116.862588686568,-20.3045320025739,2.69026765657149e-07,c(-1774737.04196478, -2447774.78094851)
"DM-BV-003",117.026999585895,-20.3569314278886,2.69026765657149e-07,c(-1757038.09317924, -2451180.94523041)
"DM-BV-004",116.970702847699,-20.3497045056349,2.69026765657149e-07,c(-1762937.74277442, -2451180.94523041)
"DM-BV-005",116.942388801954,-20.3252451753325,2.69026765657149e-07,c(-1766215.32588285, -2448910.16904247)
"DM-BV-006",116.973091822282,-20.3552155041423,2.69026765657149e-07,c(-1762609.98446358, -2451748.63927739)
"DM-BV-007",116.990943033831,-20.341898272123,2.69026765657149e-07,c(-1760971.19290936, -2450045.55713644)
"DM-BV-008",116.962059633208,-20.3433889644674,2.69026765657149e-07,c(-1763921.01770695, -2450613.25118342)
"DM-BV-009",116.932268865886,-20.3291448511749,2.69026765657149e-07,c(-1767198.60081538, -2449477.86308946)
"DM-BV-010",116.985602229162,-20.3568233261733,2.69026765657149e-07,c(-1761298.9512202, -2451748.63927739)
"DM-BV-011",117.027919013569,-20.3726601519246,2.69026765657149e-07,c(-1756710.3348684, -2452884.02737136)
"DM-BV-012",116.9432967567,-20.3409735388722,2.69026765657149e-07,c(-1765887.56757201, -2450613.25118342)
"DM-BV-013",116.902485258658,-20.3148944624507,2.69026765657149e-07,c(-1770476.18392381, -2448342.47499549)
"DM-BV-014",116.95045999582,-20.3575077792383,2.69026765657149e-07,c(-1764904.29263948, -2452316.33332437)
"DM-BV-015",116.987992040059,-20.3623341314769,2.69026765657149e-07,c(-1760971.19290936, -2452316.33332437)
"DM-BV-016",116.9182807783,-20.3377488787047,2.69026765657149e-07,c(-1768509.63405875, -2450613.25118342)
"DM-BV-017",116.996330304829,-20.3326085244475,5.28546398323875e-07,c(-1760554.820801, -2448956.59002915)
"DM-BV-018",117.019287318145,-20.3466874717146,5.28546398323875e-07,c(-1757983.53456303, -2450171.20777597)
"DM-BV-019",116.991217875092,-20.3208188036004,5.28546398323875e-07,c(-1761256.08068409, -2447741.97228234)
